AD_LEVEL,TA_ID,TAMBON_T,TAMBON_E,AM_ID,AMPHOE_T,AMPHOE_E,CH_ID,CHANGWAT_T,CHANGWAT_E,LAT,LONG
4,103702,ต. หนองตากยา,Nong Tak Ya,7106,อ. ท่าม่วง,Tha Muang,71,จ. กาญจนบุรี,Kanchanaburi,13.795,99.546
4,103102,ต. พังตรุ,Phang Tru,7106,อ. ท่าม่วง,Tha Muang,71,จ. กาญจนบุรี,Kanchanaburi,13.863,99.645
4,100101,ต. รางสาลี่,Rang Sali,7106,อ. ท่าม่วง,Tha Muang,71,จ. กาญจนบุรี,Kanchanaburi,13.866,99.543
4,100202,ต. บ้านใหม่,Ban Mai,7106,อ. ท่าม่วง,Tha Muang,71,จ. กาญจนบุรี,Kanchanaburi,13.868,99.604
4,100805,ต. ท่าตะคร้อ,Tha Takhro,7106,อ. ท่าม่วง,Tha Muang,71,จ. กาญจนบุรี,Kanchanaburi,13.917,99.699
4,101901,ต. เขาน้อย,Khao Noi,7106,อ. ท่าม่วง,Tha Muang,71,จ. กาญจนบุรี,Kanchanaburi,13.919,99.588
4,100802,ต. ม่วงชุม,Muang Chum,7106,อ. ท่าม่วง,Tha Muang,71,จ. กาญจนบุรี,Kanchanaburi,13.937,99.617
4,100111,ต. วังขนาย,Wang Khanai,7106,อ. ท่าม่วง,Tha Muang,71,จ. กาญจนบุรี,Kanchanaburi,13.960,99.663
4,101501,ต. วังศาลา,Wang Sala,7106,อ. ท่าม่วง,Tha Muang,71,จ. กาญจนบุรี,Kanchanaburi,13.971,99.697
4,100105,ต. ท่าม่วง,Tha Muang,7106,อ. ท่าม่วง,Tha Muang,71,จ. กาญจนบุรี,Kanchanaburi,13.974,99.625
4,100803,ต. ท่าล้อ,Tha Lo,7106,อ. ท่าม่วง,Tha Muang,71,จ. กาญจนบุรี,Kanchanaburi,13.987,99.589
4,101301,ต. ทุ่งทอง,Thung Thong,7106,อ. ท่าม่วง,Tha Muang,71,จ. กาญจนบุรี,Kanchanaburi,14.008,99.666
4,102006,ต. หนองขาว,Nong Khao,7106,อ. ท่าม่วง,Tha Muang,71,จ. กาญจนบุรี,Kanchanaburi,14.055,99.613
